GDP,CPI,TAMIT,RS,HS,PPI,MTIS,U,MS,PI
1765.1,-0.26,999.79,404.28,1.15,-0.44,1353.62,6.2,1121.2,262.54
1705.74,-0.15,999.74,371.29,1.21,-0.39,1272.16,6.43,1130.4,257.33
1694.41,-0.19,999.74,370.14,1.32,-0.5,1280.53,6.02,1092.69,266.36
1709.93,-0.2,999.74,382.29,1.43,-0.48,1295.75,6.36,1061.6,285.96
1654.08,-0.19,999.73,405.72,1.43,-0.43,1275.84,6.88,1045.7,291.96
1720.58,-0.24,999.71,404.98,1.42,-0.44,1248.76,6.79,978.34,278.21
1680.71,-0.24,999.69,423.9,1.26,-0.33,1233.99,6.02,1010.02,255.6
1685.37,-0.28,999.67,430.68,1.19,-0.31,1282.76,5.59,975.44,272.95
1630.84,-0.24,999.63,441.55,0.9,-0.31,1248.83,5.07,947.95,259.88
1565.76,-0.15,999.73,430.81,0.8,-0.4,1200.39,4.53,950.0,258.92
1598.95,-0.01,999.72,473.9,0.93,-0.45,1186.57,4.22,946.67,250.59
1633.15,-0.11,999.77,453.83,0.98,-0.4,1181.88,5.03,1002.45,253.93
1665.3,-0.04,999.73,466.28,0.91,-0.49,1148.15,5.22,957.39,245.75
1724.12,-0.02,999.75,504.34,0.96,-0.4,1184.24,4.68,926.96,266.77
1737.6,-0.01,999.75,494.26,1.0,-0.45,1157.18,4.78,898.69,279.86
1682.07,-0.02,999.75,484.16,1.02,-0.39,1163.64,4.67,968.06,263.44
1712.66,-0.01,999.76,480.02,0.88,-0.55,1190.74,4.14,1052.91,260.2
1556.78,-0.03,999.79,454.13,0.78,-0.52,1120.74,3.65,1072.04,254.43
1597.84,-0.02,999.82,463.64,0.85,-0.56,1169.3,3.6,1097.23,261.44
1658.86,0.0,999.83,477.77,0.75,-0.51,1203.23,2.95,1060.33,250.28
1659.34,-0.02,999.81,481.89,0.66,-0.51,1299.66,4.28,1023.82,270.83
1616.97,-0.08,999.64,468.65,0.7,-0.47,1319.56,4.66,1038.82,286.7
1578.51,-0.1,999.64,443.0,0.63,-0.41,1327.3,5.71,1015.41,272.6
1561.87,-0.19,999.6,432.96,0.64,-0.48,1291.45,5.55,1035.46,271.66
1580.38,-0.26,999.59,419.1,0.66,-0.45,1278.53,5.77,1014.36,280.79
1631.55,-0.25,999.55,396.01,0.67,-0.44,1254.43,5.93,986.32,281.59
1655.66,-0.32,999.53,376.35,0.63,-0.49,1239.48,6.42,980.74,297.15
1661.71,-0.2,999.48,376.15,0.6,-0.49,1231.44,7.11,1012.26,315.16
1685.27,-0.21,999.45,371.76,0.72,-0.47,1306.59,6.75,1017.3,321.08
1736.76,-0.22,999.47,402.36,0.97,-0.48,1381.21,7.02,1018.13,314.5
1688.91,-0.22,999.61,405.76,1.06,-0.41,1383.14,6.97,1004.13,303.98
1703.03,-0.14,999.6,428.49,1.01,-0.4,1369.65,6.43,1054.41,293.52
1698.37,-0.09,999.59,418.16,0.99,-0.4,1340.48,7.67,1047.3,290.92
1678.53,-0.01,999.55,421.23,1.12,-0.43,1328.91,8.41,1035.13,311.18
1726.25,-0.09,999.56,429.93,1.0,-0.45,1296.66,8.22,1026.49,304.0
1741.03,-0.0,999.58,423.35,0.97,-0.42,1266.76,7.51,1022.62,307.31
1748.32,-0.04,999.57,424.42,1.1,-0.45,1310.74,7.35,1051.78,309.61
1679.63,-0.09,999.6,429.22,1.12,-0.5,1225.48,8.19,1093.98,300.11
1632.0,-0.21,999.58,445.2,0.99,-0.58,1252.74,8.33,1115.49,290.93
1645.46,-0.22,999.58,455.44,1.01,-0.51,1297.07,8.55,1148.75,295.12
1674.11,-0.19,999.56,436.88,1.09,-0.55,1309.45,7.75,1175.04,272.19
1658.42,-0.25,999.54,440.26,1.11,-0.46,1252.84,6.97,1188.47,283.78
1771.18,-0.26,999.5,459.13,1.13,-0.51,1309.47,6.69,1194.14,247.08
1751.38,-0.25,999.47,469.06,1.04,-0.53,1306.1,7.04,1185.75,259.8
1698.91,-0.29,999.45,465.16,1.03,-0.46,1274.03,6.26,1180.88,263.39
1705.66,-0.31,999.39,459.48,1.05,-0.51,1238.96,5.92,1174.67,253.77
1634.38,-0.26,999.34,473.81,0.96,-0.48,1185.75,5.66,1133.21,272.34
1590.9,-0.11,999.32,462.47,0.85,-0.53,1240.58,6.0,1132.54,261.81
1558.55,-0.16,999.33,459.58,0.87,-0.52,1255.53,6.25,1133.74,258.76
1547.32,-0.23,999.32,484.69,0.81,-0.46,1331.98,6.35,1099.02,287.1
1531.21,-0.18,999.31,464.75,0.83,-0.35,1271.03,6.18,1053.81,301.14
1534.2,-0.19,999.29,464.42,0.9,-0.33,1297.96,5.82,1033.94,303.81
1481.7,-0.17,999.28,496.18,0.88,-0.34,1275.74,5.79,1053.64,293.88
1525.29,-0.16,999.28,511.94,0.9,-0.39,1253.89,5.14,1033.95,283.42
1551.48,-0.13,999.25,479.61,0.88,-0.39,1291.53,4.97,1013.59,280.0
1518.43,-0.2,999.25,489.83,0.83,-0.44,1303.01,4.87,1019.46,267.27
1624.69,-0.16,999.23,503.42,0.9,-0.45,1295.61,5.53,1012.22,247.92
1538.53,-0.18,999.22,531.85,1.11,-0.38,1266.04,5.21,999.83,246.11
1562.63,-0.13,999.28,525.0,1.2,-0.34,1317.3,4.89,1000.53,197.88
1516.56,-0.08,999.28,513.2,1.05,-0.39,1292.79,4.56,929.29,207.09
1486.07,-0.07,999.31,517.33,1.12,-0.41,1273.33,5.41,936.16,196.55
1512.9,-0.16,999.28,491.32,1.12,-0.52,1294.83,4.78,906.76,198.66
1561.78,-0.25,999.25,471.31,1.03,-0.5,1278.21,4.39,912.56,217.31
1603.39,-0.14,999.23,461.54,1.03,-0.46,1325.66,4.27,957.79,226.71
1568.43,-0.15,999.22,466.37,1.02,-0.45,1358.4,5.25,988.25,237.8
1496.23,-0.11,999.15,468.0,1.09,-0.46,1312.48,5.48,1069.09,246.94
1409.12,-0.21,999.17,491.54,1.06,-0.51,1270.52,6.31,1096.17,232.94
1484.69,-0.24,999.13,460.17,0.93,-0.44,1295.76,6.68,1135.52,250.66
1451.28,-0.24,999.14,480.04,1.0,-0.49,1352.7,6.85,1146.24,231.74
1537.08,-0.24,999.12,469.11,1.17,-0.57,1329.03,7.73,1105.16,241.33
1592.01,-0.27,999.12,461.25,1.18,-0.52,1288.19,7.95,1083.19,241.75
1674.77,-0.22,999.09,435.59,1.27,-0.4,1370.13,7.79,1058.3,247.74
1691.91,-0.24,999.08,435.67,1.36,-0.39,1331.14,7.19,1080.6,245.64
1696.09,-0.25,999.05,475.01,1.51,-0.41,1380.1,7.56,1033.56,251.88
1611.27,-0.13,999.05,448.7,1.56,-0.36,1332.91,7.01,1021.64,246.59
1507.93,-0.14,999.04,469.58,1.67,-0.35,1308.69,6.86,959.41,233.66
1552.76,-0.14,999.06,477.15,1.6,-0.35,1260.01,6.72,979.28,241.13
1588.99,-0.06,999.05,445.89,1.43,-0.35,1230.2,8.12,989.23,254.73
1553.52,-0.16,999.03,409.81,1.49,-0.41,1184.9,7.93,1049.04,271.1
1541.68,-0.13,999.04,437.29,1.25,-0.34,1184.24,8.19,1047.28,272.66
1631.14,-0.16,999.08,426.86,1.4,-0.32,1206.43,8.29,1020.69,266.79
1650.42,-0.09,999.1,457.87,1.55,-0.29,1197.78,8.24,1056.82,256.47
1651.76,-0.08,999.12,482.89,1.24,-0.29,1201.27,7.49,1032.47,259.6
1708.09,-0.09,999.2,481.31,1.42,-0.29,1180.98,8.63,1029.06,265.74
1658.61,-0.1,999.2,474.12,1.37,-0.27,1157.28,8.92,1057.36,275.64
1586.77,-0.15,999.2,453.98,1.45,-0.2,1239.32,9.27,1112.64,280.9
1654.61,-0.15,999.2,474.91,1.43,-0.18,1224.68,8.24,1047.28,321.37
1590.06,-0.11,999.18,458.26,1.34,-0.25,1239.03,7.87,1062.07,313.53
1631.7,-0.08,999.18,447.33,1.26,-0.28,1265.86,7.9,1065.32,332.89
1599.58,-0.09,999.19,470.15,1.15,-0.28,1241.83,7.13,1047.65,331.75
1608.71,-0.1,999.19,470.68,1.11,-0.29,1135.45,6.71,1059.01,307.06
1584.94,-0.12,999.17,462.0,1.13,-0.24,1161.31,6.9,1088.33,321.58
1547.84,-0.11,999.16,474.05,0.99,-0.29,1156.17,6.97,1063.76,310.12
1556.41,-0.09,999.19,432.33,1.01,-0.27,1214.05,6.73,1086.49,312.1
1610.03,-0.05,999.19,450.75,1.14,-0.31,1252.89,6.41,1094.34,287.96
1605.58,-0.04,999.22,445.65,1.2,-0.37,1335.22,6.27,1107.56,297.9
1533.78,-0.01,999.22,393.79,1.19,-0.4,1365.05,6.73,1105.09,269.32
1507.95,0.04,999.24,402.5,1.06,-0.37,1245.34,6.97,1039.82,265.23
1448.48,0.12,999.26,392.38,1.01,-0.46,1248.66,7.31,1090.37,267.81
1479.63,0.16,999.26,418.59,0.9,-0.5,1232.87,7.47,1111.17,270.88
1551.9,0.1,999.27,417.99,0.97,-0.53,1276.77,6.88,1124.89,243.29
1592.48,-0.04,999.27,392.76,1.16,-0.44,1262.81,7.16,1073.24,238.19
1585.51,0.03,999.33,385.54,1.09,-0.46,1238.21,7.38,1053.29,250.55
1541.16,0.01,999.34,417.92,1.1,-0.4,1249.61,6.7,1029.63,275.73
1505.08,0.04,999.34,412.61,1.17,-0.37,1233.12,7.31,1019.4,304.29
1573.47,-0.08,999.33,427.9,1.09,-0.35,1198.33,7.72,1025.98,327.86
1536.76,-0.06,999.34,460.21,1.32,-0.37,1271.9,7.85,995.66,335.32
1514.07,-0.02,999.4,465.61,1.47,-0.3,1232.64,7.32,945.46,325.46
1546.17,0.07,999.42,442.49,1.31,-0.35,1233.2,6.71,997.09,306.47
1570.24,0.09,999.44,478.59,1.27,-0.31,1255.34,6.39,973.75,290.78
1496.87,0.08,999.44,460.48,1.27,-0.38,1258.38,6.41,895.7,277.13
1545.0,0.18,999.46,458.43,1.21,-0.28,1265.39,6.64,908.61,292.22
1585.47,0.2,999.45,484.48,1.21,-0.37,1257.37,7.33,870.77,283.34
1583.12,0.14,999.42,455.38,1.24,-0.39,1235.38,6.91,939.89,303.63
1596.57,0.01,999.42,469.45,1.2,-0.32,1297.14,7.24,930.45,294.21
1566.61,0.02,999.42,472.23,1.03,-0.25,1358.43,6.52,969.74,287.78
1552.19,-0.07,999.45,450.41,1.03,-0.27,1350.28,7.32,944.47,299.25
1517.19,-0.03,999.43,424.31,1.11,-0.24,1330.25,7.34,934.13,293.32
1502.12,-0.01,999.45,450.22,0.97,-0.3,1313.07,7.68,914.79,292.34
1492.83,0.02,999.48,425.73,0.93,-0.24,1372.76,8.34,900.63,298.75
1541.34,-0.01,999.48,436.69,0.88,-0.2,1397.71,7.85,949.07,290.81
1534.71,0.0,999.48,449.29,1.02,-0.19,1402.13,7.63,905.19,292.32
1523.35,0.0,999.52,465.31,0.92,-0.29,1437.45,7.37,935.18,298.05
1457.19,0.01,999.54,435.11,0.85,-0.38,1408.39,7.38,928.06,308.0
1334.65,0.02,999.56,437.37,0.86,-0.39,1362.1,6.47,887.02,279.04
1462.63,-0.05,999.56,442.4,0.91,-0.4,1293.08,5.57,882.16,274.76
1446.61,-0.12,999.55,437.6,0.93,-0.34,1340.26,5.92,891.8,272.17
1408.33,-0.1,999.54,456.38,0.99,-0.27,1376.2,5.73,927.3,295.88
1445.66,-0.14,999.54,443.74,0.83,-0.23,1384.0,5.71,942.46,290.29
1469.64,-0.13,999.59,450.71,0.65,-0.19,1411.86,5.85,943.52,264.64
1567.17,-0.14,999.68,432.39,0.61,-0.28,1371.83,6.67,907.01,265.99
1585.25,-0.11,999.66,447.16,0.54,-0.23,1406.16,7.51,893.98,272.32
1558.97,-0.1,999.66,445.51,0.54,-0.27,1345.02,7.78,936.03,285.46
1541.4,-0.06,999.66,433.84,0.61,-0.25,1354.3,7.54,982.05,263.9
1593.98,-0.05,999.68,457.77,0.44,-0.3,1378.33,7.23,989.41,256.06
1581.23,-0.05,999.86,455.2,0.69,-0.26,1330.09,7.67,1029.15,277.71
1581.81,-0.05,1000.18,417.82,0.75,-0.21,1234.75,7.23,1040.81,287.42
1657.5,-0.01,1000.19,405.43,0.82,-0.21,1234.27,7.48,1050.12,309.87
1700.73,-0.09,1000.21,453.68,0.72,-0.14,1211.61,6.64,1124.31,289.94
1730.95,-0.11,1000.25,478.59,0.68,-0.2,1181.75,7.21,1084.47,279.07
1786.48,-0.07,1000.24,482.44,0.68,-0.26,1136.97,7.57,1064.46,297.62
1901.25,-0.11,1000.24,498.75,0.73,-0.34,1191.66,7.21,1036.87,303.6
1807.69,-0.03,1000.25,515.41,0.59,-0.33,1194.07,6.09,1052.91,289.61
1870.98,-0.03,1000.3,532.13,0.53,-0.36,1204.01,5.81,1052.34,285.93
1801.18,-0.03,1000.32,532.82,0.5,-0.36,1191.51,5.79,998.12,313.27
1690.69,-0.04,1000.33,526.14,0.53,-0.29,1187.18,5.36,995.01,323.45
1646.96,-0.07,1000.34,477.94,0.59,-0.26,1192.5,4.9,944.0,350.51
1699.17,-0.12,1000.36,458.53,0.66,-0.21,1240.64,4.42,999.09,333.62
1720.14,0.03,1000.37,474.9,0.65,-0.21,1117.34,4.67,977.65,312.28
1669.98,-0.04,1000.36,467.98,0.63,-0.25,1197.03,5.15,956.65,317.69
1698.71,-0.02,1000.34,462.13,0.73,-0.26,1165.09,4.57,903.54,312.55
1714.05,0.06,1000.36,433.47,0.78,-0.28,1223.88,4.41,934.31,323.78
1692.07,0.06,1000.37,417.99,0.77,-0.31,1246.38,4.4,921.3,322.12
1677.03,-0.01,1000.37,429.89,0.75,-0.27,1231.01,4.79,950.41,314.03
1677.81,-0.02,1000.36,428.47,0.8,-0.33,1221.39,4.82,914.08,317.06
1581.82,0.02,1000.37,412.33,1.0,-0.3,1176.27,4.58,806.88,315.32
1595.9,-0.08,1000.48,398.93,0.98,-0.3,1135.98,4.4,792.18,312.95
1655.13,-0.02,1000.48,432.84,0.93,-0.33,1205.17,5.53,788.69,308.1
1698.0,0.03,1000.42,418.23,0.97,-0.24,1165.72,6.26,834.67,319.55
1728.78,0.09,1000.41,440.42,0.95,-0.25,1240.07,6.86,816.1,312.59
1742.78,0.04,1000.4,451.68,1.07,-0.25,1251.29,6.72,821.48,326.09
1682.42,-0.02,1000.42,409.32,0.96,-0.35,1273.83,6.37,856.08,323.71
1626.18,0.01,1000.46,419.69,0.88,-0.41,1301.12,6.08,943.76,327.04
1556.76,0.07,1000.49,429.16,0.77,-0.43,1300.57,5.13,974.4,316.2
1594.48,0.12,1000.48,447.46,0.68,-0.51,1277.83,4.45,972.25,311.6
1444.74,0.2,1000.48,458.9,0.61,-0.56,1320.86,5.04,980.62,323.78
1551.51,0.21,1000.48,493.24,0.63,-0.61,1295.99,5.13,973.91,319.07
1457.84,0.21,1000.48,483.87,0.48,-0.61,1335.03,4.58,961.33,332.72
1440.77,0.18,1000.57,495.37,0.61,-0.59,1336.34,5.21,955.52,326.65
1517.24,0.07,1000.63,492.01,0.72,-0.56,1331.72,4.42,945.29,315.29
1459.6,0.02,1000.64,498.39,0.74,-0.52,1335.41,3.98,937.32,328.6
1513.02,-0.04,1000.63,494.73,0.89,-0.51,1319.45,3.96,937.27,328.4
1463.49,-0.01,1000.69,483.72,1.14,-0.58,1320.01,3.52,935.99,335.27
1416.86,-0.09,1000.78,525.6,1.33,-0.51,1320.77,3.48,947.37,328.8
1406.09,-0.05,1000.82,523.22,1.25,-0.55,1293.96,2.89,968.43,329.35
1388.45,-0.02,1000.78,517.56,1.07,-0.38,1298.1,3.14,945.26,317.97
1404.39,-0.14,1000.82,529.27,1.0,-0.37,1268.43,3.47,961.17,318.88
1433.97,-0.18,1000.8,519.01,1.08,-0.36,1332.63,3.99,1009.59,320.61
1239.35,-0.16,1000.77,524.47,1.02,-0.39,1393.7,4.44,969.67,311.2
1251.97,-0.22,1000.8,449.32,0.97,-0.47,1329.76,5.15,971.58,306.68
1217.47,-0.23,1000.78,427.5,0.98,-0.46,1381.65,6.34,926.1,302.54
1244.67,-0.31,1000.71,440.58,0.92,-0.35,1293.72,5.51,945.0,303.45
1341.06,-0.28,1000.64,481.34,0.79,-0.4,1272.66,5.29,930.39,273.2
1393.96,-0.26,1000.66,457.35,0.6,-0.38,1262.17,5.76,979.8,283.55
1497.89,-0.29,1000.76,422.51,0.76,-0.34,1249.27,5.67,1007.58,262.04
1526.12,-0.33,1000.83,407.07,0.89,-0.34,1269.17,5.66,1002.37,279.79
1502.48,-0.18,1000.83,401.02,1.07,-0.28,1271.19,5.88,1027.47,263.43
1581.41,-0.14,1000.87,431.82,1.14,-0.33,1237.99,5.93,1054.57,262.12
1642.26,-0.11,1000.88,446.18,1.06,-0.4,1204.43,5.98,1088.82,255.15
1593.39,-0.08,1000.89,467.44,1.1,-0.37,1216.46,5.98,1093.2,261.91
1578.15,0.0,1000.89,462.7,1.02,-0.4,1257.13,6.11,1079.34,258.75
1569.52,0.0,1000.9,478.19,1.19,-0.46,1381.69,6.15,1078.21,282.0
1542.84,0.08,1000.93,498.46,1.23,-0.46,1344.58,5.91,1072.64,280.78
1474.29,0.09,1000.93,495.33,1.27,-0.46,1323.16,4.34,1010.02,295.38
1461.02,0.07,1000.81,494.24,1.29,-0.44,1350.11,3.58,1009.3,273.52
1492.17,0.06,1000.76,511.05,1.19,-0.46,1380.3,4.07,1024.85,281.73
1487.41,0.07,1000.75,517.51,1.33,-0.41,1392.51,4.05,1041.93,292.17
1569.35,-0.02,1000.77,483.07,1.31,-0.43,1359.46,3.65,1095.74,287.29
1465.21,-0.05,1000.77,471.0,1.18,-0.48,1340.82,3.83,1081.1,275.21
1530.85,-0.1,1000.79,510.84,1.27,-0.51,1426.45,3.57,1053.86,265.72
1476.44,-0.2,1000.8,476.56,1.13,-0.49,1350.2,2.72,1015.1,271.98
1480.7,-0.21,1000.72,457.26,1.08,-0.43,1363.9,2.54,1014.85,290.53
1486.69,-0.13,1000.7,441.09,1.11,-0.39,1397.83,2.49,1044.23,292.61
1480.2,-0.17,1000.69,421.26,1.09,-0.41,1432.63,2.57,999.73,285.7
1438.21,-0.25,1000.68,408.63,1.13,-0.38,1479.87,2.8,976.4,275.25
1445.94,-0.18,1000.65,393.16,1.05,-0.32,1399.33,2.76,1008.23,268.39
1478.62,-0.25,1000.64,409.07,1.04,-0.4,1341.74,3.5,1037.79,234.7
1512.84,-0.26,1000.54,408.3,0.98,-0.37,1284.62,3.39,1002.64,241.82
1444.08,-0.31,1000.51,411.43,0.79,-0.33,1251.86,3.08,995.25,265.79
1518.28,-0.27,1000.53,393.7,0.82,-0.36,1206.94,3.14,973.05,274.11
1503.37,-0.16,1000.5,449.92,0.84,-0.44,1189.3,3.81,929.82,271.49
1521.05,-0.17,1000.47,418.04,0.93,-0.37,1149.65,2.89,964.03,274.03
1544.25,-0.1,1000.38,436.12,0.72,-0.34,1142.9,3.98,956.5,262.92
1578.16,0.0,1000.35,438.09,0.74,-0.3,1116.93,3.62,970.02,274.99
1538.23,0.17,1000.34,451.24,0.77,-0.34,1171.89,3.63,970.04,252.3
1538.08,0.07,1000.33,436.6,0.74,-0.4,1211.72,3.84,977.49,247.92
1527.93,0.01,1000.32,440.16,0.74,-0.35,1247.52,3.36,951.0,238.69
1547.77,-0.03,1000.3,397.42,0.72,-0.36,1367.22,3.43,906.2,247.76
1562.57,0.0,1000.31,378.36,0.83,-0.29,1288.84,4.21,917.25,257.27
1530.37,-0.07,1000.29,377.17,0.79,-0.24,1233.57,4.86,901.69,281.93
1549.73,0.05,1000.27,387.55,0.87,-0.35,1239.93,6.12,915.66,263.73
1515.67,-0.05,1000.21,396.91,0.88,-0.34,1260.09,7.72,912.41,228.05
1528.82,-0.1,1000.14,420.18,0.88,-0.28,1281.28,7.54,940.7,265.92
1481.49,-0.12,1000.14,415.54,0.88,-0.25,1319.39,7.68,947.84,289.15
1462.39,-0.12,1000.13,393.31,0.69,-0.26,1227.99,6.79,962.81,276.72
1482.27,-0.1,1000.2,383.59,0.74,-0.28,1227.21,5.5,963.61,248.82
1482.47,-0.05,1000.15,403.69,0.76,-0.36,1254.83,5.07,986.46,238.57
1512.12,-0.12,1000.15,372.67,0.71,-0.44,1296.3,5.07,1016.69,255.09
1484.57,-0.07,1000.16,369.58,0.83,-0.44,1269.79,5.7,992.97,268.1
1508.76,-0.11,1000.18,376.02,0.89,-0.35,1287.71,5.69,955.24,285.41
1496.03,-0.09,1000.19,404.89,0.98,-0.37,1386.34,5.87,930.99,296.29
1590.17,-0.07,1000.2,429.1,1.02,-0.39,1342.47,6.18,983.81,286.71
1555.55,-0.1,1000.21,444.59,1.06,-0.41,1328.72,6.51,962.83,284.03
1530.71,-0.09,1000.21,424.84,0.96,-0.42,1353.85,6.28,982.65,289.26
1511.72,-0.15,1000.22,449.32,0.96,-0.38,1376.73,5.88,940.53,285.2
1564.78,-0.09,1000.21,442.4,1.04,-0.37,1328.79,6.72,942.07,267.97
